IMPERIAL_20_solar,H_ALLEN_20_solar,PALOVRD2_20_solar,EMERY_20_solar
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,77.5,0
22.5,179.6,2143.2,198.6
173.4,991.4,2856,195.5
183,1100,3079.6,152.1
180.5,1036.5,2922.9,184.1
180.1,961,2756.3,178.4
183,681.5,2501.1,190.4
183,316.1,2212,52.9
183,561.9,2170.8,112
146.9,199.2,1631.1,80.5
66,0,198.1,0
2.5,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,80.5,0
22.2,283,2578.1,401.9
175.4,998.7,2852.1,371.3
177.8,1100,2771.1,403.8
175.9,1100,2613.1,319.4
173.9,1036.2,2617.8,251.8
175.8,1100,2623,295.5
175.7,1088.5,2890.9,298.2
175.4,1100,2961,404.7
163.4,654.4,2339,176.5
67.3,54.6,207.9,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,180.9,0
31.1,384.6,2802.6,501.6
174.3,1100,3145.1,477.1
183,1100,2912,479.7
179.7,1033.8,2900.4,447.3
182.3,1069.4,2868.2,370.5
183,1077,2929.6,385.5
181.9,1082.2,3159,300.2
183,1100,3150.1,300.5
178.2,585.2,2165.4,142.5
90.9,0,790.4,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
49.3,487.7,577.2,501.1
179.2,1083.3,846.1,486.2
183,1100,779,482.8
183,1076.3,689.1,454.7
183,1053.8,659.9,466
183,1066.7,695.4,346.6
183,1087.9,690,299.1
178.7,1100,648.1,402.3
170.8,622.3,423.7,127.8
95,13.8,42.7,0
4.9,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,285.9,0
0,0,1997.8,500.7
16.4,186.8,2031.5,495.8
25.4,878,2428.3,479.1
24.6,992.8,2353.7,361.5
